epoch_id, block_height_start, staked_balance
4bZtnqpyjKicAqiuyrcf9wR2soY9VsQT7gnyss5MCUqD,<=201989308,14999999999999999999999998
FreNLPFw76NGpUYrTJJmCai1ywGoFrLAKAfsUYfhrgNp,202017128,14999999999999999999999998
FyjSNDrWacehg4uhNT6dMwSsqhF4TGQXPZvtW8UHG3wJ,202060328,15000670630389836381618775
GtiiimxLfcQGqikDAokbBv3zp6T82FLK3L98v8H97jvA,202103528,15001291843549454561058638
